연번,구분,시도,시군구,부서,주소,대표전화,보관장소,빈탱크로리,굴착기,암롤차,스키드로더,진공흡입차량,지게차,방독면,보호복,장갑,장화,소석회,마른모래,중탄산나트륨,흡착포,유처리제
320,광역,충청남도,충청남도,서천소방서,충청남도 서천군 장항읍 장항로 37,041-955-0313,서천소방서 등,-,-,-,-,-,-,-,21,11,19,88,-,1400,10,-
321,광역,충청남도,충청남도,청양소방서,충청남도 청양군 청양읍 충절로 1187,041-940-7312,청양소방서 등,-,-,-,-,-,-,11,6,25,9,460,-,725,10박스,-
322,광역,충청남도,충청남도,홍성소방서,충청남도 홍성군 홍성읍 충절로 741,041-630-0312,홍성소방서 등,-,-,-,-,-,-,22,23,51,4,180,-,1025,29박스,-
323,광역,충청남도,충청남도,예산소방서,충청남도 예산군 오가면 오가중앙로111,041-330-4312,예산소방서,-,-,-,-,-,-,64,47,88,7,0,75,1060,18,-
324,광역,충청남도,충청남도,태안소방서,충청남도 태안군 태안읍 동백로 100,041-671-0311,태안소방서,-,-,-,-,-,-,6,17,28,5,80,12,300,380/8,-
325,광역,충청남도,충청남도,119특수대응단,충청남도 아산시 염치읍 은행나무길223,041-590-6433,직할구조대,-,-,-,-,-,-,5,83,14,5,8,200,675,15,-
326,광역,충청남도,충청남도,사회재난과,충청남도 홍성군 홍북읍 충남대로 21,041-635-2373,재난관리자원 통합관리센터,-,-,-,-,-,1,200,50,14130,-,-,2000,-,"13,380개",-
327,광역,충청남도,충청남도,환경관리과,충청남도 홍성군 홍북읍 충남대로 22,041-635-6909,대산읍 서북부권환경관리팀,-,-,-,-,-,-,15,20,40,-,-,-,-,2450,-
328,기초,충청남도,계룡시,환경위생과,충청남도 계룡시 장안로 46,042-840-2472,계룡시청 등,-,-,-,-,1,-,-,-,-,19,-,-,-,58,220
329,기초,충청남도,공주시,환경보호과,충청남도 공주시 봉황로 1,041-840-8549,공주시청 등,-,-,2,-,24,-,-,-,20,5,-,-,-,59박스,53
330,기초,충청남도,금산군,환경위생과,충청남도 금산군 금산읍 군청길 13,041-750-2512,금산군 위생매립장,-,2,16,-,1,2,4,4,4,4,-,,-,50박스,162
331,기초,충청남도,논산시,환경과,충청남도 논산시 시민로210번길 9,041-746-5523,논산시청 등,-,1,-,-,-,-,6,18,6,6,-,-,-,27박스,396L
332,기초,충청남도,당진시,도로과,충청남도 당진시 시청1로 1,041-350-3306,당진시청 등,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-
333,기초,충청남도,당진시,자원순환과,충청남도 당진시 시청1로 1,041-350-3306,당진시청 등,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
334,기초,충청남도,당진시,환경관리사업소,충청남도 당진시 시청1로 1,041-360-6761,"당진시 가축분뇨자원화센터, 폐기물매립장",-,-,-,-,-,-,-,-,-,10,-,-,-,10,-
335,기초,충청남도,보령시,기후환경과,충청남도 보령시 성주산로 77,041-930-3677,보령시청 등,-,1,-,-,-,-,-,-,-,-,-,-,-,80박스,1024
336,기초,충청남도,부여군,환경과,충청남도 부여군 부여읍 사비로 33,041-830-2299,부여군청 등,-,3,-,,,,5,10,10,5,-,-,-,9박스,230L
337,기초,충청남도,서산시,기후환경대기과,충청남도 서산시 고운로 177,041-661-8278,서산시청 등,-,8,-,1,2,3,24,15,15,10,,,,5,-
338,기초,충청남도,서천군,환경보호과,충청남도 서천군 서천읍 서림로 19,041-950-4332,장항읍 옥남리 1077,-,1,-,2,,1,23,20,10,10,-,100,-,10,-
339,기초,충청남도,아산시,환경보전과,충청남도 아산시 시민로 456,041-540-2440,아산시청,-,-,-,-,-,-,2,4,16,8,-,-,-,20박스,580
340,기초,충청남도,예산군,환경과,충청남도 예산군 예산군 군청로 22,041-339-7512,예산군맑은누리센터 등,-,-,-,-,-,-,-,-,-,3,-,-,-,-,1062
341,기초,충청남도,천안시,환경정책과,천안시 서북구 번영로 156,041-521-5437,천안시청 등,-,-,-,-,-,-,16,4,20,18,480,-,-,9박스,-
342,기초,충청남도,청양군,환경정책과,충청남도 청양군 청양읍 문화예술로 222,041-940-4825,자원순환센터,-,2,3,-,-,3,5,5,5,5,-,-,-,10박스,-
343,기초,충청남도,청양군,건설정책과,충청남도 청양군 청양읍 문화예술로 222,041-940-2984,청양군청,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
344,기초,전라남도,태안군,환경관리과,충청남도 태안군 군청길 1,041-670-2790,태안군 등,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
345,기초,충청남도,홍성군,환경과,충청남도 홍성군 홍성읍 아문길 27,041-630-1767,홍성군청 등,-,-,-,-,-,-,5242,31,31,31,-,-,-,45,540
346,광역,전북특별자치도,전북특별자치도,생활환경과,전북 전주시 완산구 효자로 225,063-280-4179,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
347,기초,전북특별자치도,고창군,환경위생과,전북 고창군 아산면 인천강변로 201-95,063-560-2881,창고 등,-,2,19,1,2,2,-,-,-,-,-,-,-,4800/48,2952
348,기초,전북특별자치도,군산시,기후환경과,전북 군산시 시청로 17,063-454-3403,군산시청 외,2,8,,1,-,,40,40,20,20,-,600,160,"1,000박스",
349,기초,전북특별자치도,김제시,자원순환과,"전북 김제시 동서로 59, 3층",063-540-3776,김제시청,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
350,기초,전북특별자치도,김제시,건설과,전북 김제시 중앙로 40,063-540-3434,김제시 도로관리사무소,,1,,1,,,,,,,,,,,
351,기초,전북특별자치도,김제시,환경과,전북 김제시 중앙로 40,063-540-3974,김제시청,,,,,,,,,,,,,,36,846
352,기초,전북특별자치도,남원시,환경과,전북 남원시 시청로 60,063-620-6913,남원시청 등,1,1,3,2,2,1,46,55,40,13,-,-,-,41박스,-
353,기초,전북특별자치도,무주군,환경과,전북 무주군 무주읍 주계로 97,063-320-2388,무주군 다목적창고 등,0,1,0,0,0,1,3,48,20,4,0,0,0,6박스,34
354,기초,전북특별자치도,부안군,환경사업소,전북 부안군 줄포면 분탕골로 215-33,063-580-3152,환경사업소,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-
355,기초,전북특별자치도,부안군,환경사업소,전북 부안군 줄포면 분탕골로 215-33,063-580-4125,환경사업소,-,-,4,-,2,1,-,-,-,-,-,-,-,-,-
356,기초,전북특별자치도,부안군,환경과,전북 부안군 부안읍 당산로 91,063-580-4382,환경과 창고,,,,,,,25,13,60,52,,,,20,
357,기초,전북특별자치도,완주군,환경위생과,전북 완주군 용진읍 지암로 61,063-290-2692,완주군청 등,,1,8,1,2,,,,,,,,,5,
358,기초,전북특별자치도,익산시,환경관리과,전북 익산시 인북로32길 1,063-859-5437,익산시청 등,-,-,-,-,-,-,-,-,20,20,-,-,-,50,-
359,기초,전북특별자치도,임실군,환경보호과,전북 임실군 임실읍 수정로 30,063-640-2963,임실군청 등,-,-,-,-,-,-,4,4,4,4,-,-,-,20박스,-
360,기초,전북특별자치도,장수군,환경과,전북자치도 장수군 장수읍 호비로 10,063-350-2531,장수군청 등,-,1,-,1,-,-,-,2,12,-,-,-,-,9.5,60
361,기초,전북특별자치도,전주시,환경위생과,전라북도 전주시 노송광장로 10,063-281-2531,"덕진구청, 완산구청 등",-,2,8,-,-,-,-,77,22,39,-,-,-,34박스,180L (액상 유흡착제)
362,기초,전북특별자치도,정읍시,환경정책과,전북 정읍시 충정로 234,063-539-5713,정읍시청 등,-,6,3,12,-,-,10,10,24,15,-,-,-,48박스,-
363,기초,전북특별자치도,진안군,안전재난과,전북 진안군 진안읍 중앙로 67,063-430-2445,진안군청 및 행정복지센터,-,-,-,-,-,-,63,219,3,-,-,-,-,358박스,-
364,기초,전북특별자치도,진안군,재무과,전북 진안군 진안읍 중앙로 67,063-430-2275,"진안군청, 농업기술센터 및 행정복지센터",-,-,15,-,-,-,-,-,-,-,-,-,-,-,-
365,광역,전라남도,전라남도,기후대기과,전라남도 순천시 매안로 16,061-286-7942,전라남도 동부지역본부 등,-,-,-,-,-,-,54,-,200,6,-,-,-,200/2,-
366,기초,전라남도,목포시,기후환경과,전라남도 목포시 수문로 32,061-270-3318,트윈스타 내 창고,-,-,-,-,-,-,-,10,-,50,-,-,-,5,394
367,기초,전라남도,여수시,산단환경관리과,전라남도 여수시 삼동2길 13,061-659-2820,남수가압장 등,-,-,-,-,-,-,14,76,74,48,,,,65,108
368,기초,전라남도,순천시,환경관리과,전라남도 순천시 이수로 13 (장천동),061-749-5769,순천시청,-,6,14,-,2,1,-,-,-,-,-,-,-,22,250
369,기초,전라남도,나주시,환경관리과,전라남도 나주시 시청길 22,061-339-8933,나주시청 등,-,-,-,-,-,-,-,-,-,-,-,-,-,50박스,50kg
370,기초,전라남도,광양시,환경과,전라남도 광양시 시청로 33,061-797-3332,광양시청 등,-,-,-,-,-,-,-,-,-,-,-,-,-,40박스,18
371,기초,전라남도,담양군,환경과,전라남도 담양군 담양읍 추성로 1371,061-380-3068,담양군청 등,-,1,1,-,-,1,3,10,10,3,-,-,-,700개,-
372,기초,전라남도,곡성군,환경과,전라남도 곡성군 곡성읍 군청로 50,061-360-8531,"구 곡성위생처리장, 환경과 물품보관 창고",-,-,-,-,-,-,-,7,-,5,-,-,-,65,300
373,기초,전라남도,구례군,환경과,전라남도 구례군 구례읍 봉성로 1,061-780-2982,구례군청,-,-,-,-,-,-,3,3,3,3,-,-,-,20박스,522
374,기초,전라남도,고흥군,환경정책과,전라남도 고흥군 고흥읍 고흥군청로 1,061-830-5834,고흥군 폐기물처리장 창고,-,1,1,-,-,1,-,792,100,20,-,-,-,53,"1,260"
375,기초,전라남도,보성군,기후환경과,전라남도 보성군 송재로 165,061-850-5354,"겸백면, 율어면, 복내면, 문덕면 창고",-,-,-,-,-,-,-,-,-,5,-,-,-,197박스,180
376,기초,전라남도,보성군,"12개 읍,면",-,-,"보성읍, 벌교읍, 노동면, 미력면, 겸백면, 율어면, 복내면, 문덕면, 조성면, 득량면, 회천면, 웅치면 주민복지계 창고",-,-,-,-,-,-,-,-,-,17,-,-,-,117박스,144
377,기초,전라남도,화순군,환경과,전라남도 화순군 화순읍 동헌길 23,061-379-3603,전라남도 화순군 한천면 덕음로 548(농촌폐기물종합처리장) 등,-,1,9,-,-,1,-,-,-,-,-,-,-,178박스,"1,278"
378,기초,전라남도,화순군,건설교통실,전라남도 화순군 화순읍 동헌길 23,061-379-3751,전라남도 화순군 화순읍 서태리 199-1(도로보수원실),-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
379,기초,전라남도,화순군,주민안전과,전라남도 화순군 화순읍 동헌길 23,061-379-3749,전라남도 화순군 화순읍 삼천리 1012-7,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
380,기초,전라남도,화순군,화순읍,전라남도 화순군 화순읍 중앙로 20-4,061-379-5153,전라남도 화순군 덕음로 981-12,-,-,4,-,1,-,-,-,-,-,-,-,-,-,-
381,기초,전라남도,장흥군,환경관리과,전남 장흥군 부산면 덕정길 206,061-860-7834,그린환경센터,-,2,1,-,-,1,-,-,-,-,-,-,-,-,-
382,기초,전라남도,장흥군,재난안전과,전남 장흥군 장흥읍 잣두1길 43,061-860-6172,재난안전과 구호창고,-,-,-,-,-,,390,-,2000,-,-,-,-,800,-
383,기초,전라남도,강진군,환경과,전라남도 강진군 강진읍 탐진로 111,061-430-3303,강진군청 등,-,1,-,-,-,2,-,-,-,-,-,-,-,2박스,-
384,기초,전라남도,해남군,환경과,전라남도 해남군 해남읍 군청길 4,061-530-5644,위생매립장 창고,-,1,-,-,-,1,-,-,4,4,-,-,-,9박스,450
385,기초,전라남도,영암군,건설교통과,전라남도 영암군 군청로 1,061-470-2729,도로시설팀 사무실 (영암군 낭주로 221),-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
386,기초,전라남도,영암군,환경기후과,전라남도 영암군 군청로 1,061-470-2328,영암군청내,-,-,-,-,-,-,-,-,-,-,160,-,-,15박스,648
387,기초,전라남도,무안군,환경과,전라남도 무안읍 무안로 530,061-450-5569,남악주민다목적생활체육관,-,-,-,-,-,-,19,19,19,19,-,-,-,19개,-
388,기초,전라남도,함평군,환경관리과,전라남도 함평군 함평읍 중앙길 200,061-320-1813,함평군청,-,-,-,-,-,-,-,-,-,-,-,-,-,8박스,-
389,기초,전라남도,영광군,환경과,전남 영광군 영광읍 중앙로 203,061-350-4754,영광군청 등,-,-,-,-,-,-,4,4,4,4,-,-,-,100개/35박스,480
390,기초,전라남도,장성군,환경과,전라남동 장성군 장성읍 영천로 200,061-390-7337,장성군청,-,1,-,-,-,2,-,-,-,-,-,-,-,5000개/25박스,180
391,기초,전라남도,완도군,환경수질관리과,전라남도 완도군 완도읍 농공단지7길 44,061-550-5506,완도군 분뇨처리장,-,-,-,-,-,-,-,4,4,4,-,-,-,5박스,400
392,기초,전라남도,진도군,환경수질과,전라남도 진도군 진도읍 철마길 25,061-540-3723,환경관리센터 등,1,2,1,-,-,1,3,3,-,3,-,-,-,10박스,-
393,기초,전라남도,신안군,세계유산과,전라남도 신안군 압해로 천사로 1004,061-240-8153,-,-,-,13,-,3,2,-,20,10,4,1112,80,-,15박스,"1,080"
394,기초,강원특별자치도,강릉시,환경과,강원 강릉시 강릉대로 33,033-640-5356,강릉시청 등,-,-,-,-,-,-,9,9,9,9,-,80,-,52,460
395,기초,강원특별자치도,고성군,환경과,강원 고성군 죽왕면 짱고개길 253,033-680-3982,-,1,1,0,0,2,0,0,0,0,0,0,0,0,0,
396,기초,강원특별자치도,고성군,환경과,강원 고성군 죽왕면 짱고개길 253,033-680-3823,-,2,1,0,0,1,4,4,4,21,"20,000",0,0,0,0,
397,기초,강원특별자치도,고성군,환경과,강원 고성군 간성읍 탑동길 59,033-680-3992,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
398,기초,강원특별자치도,고성군,환경과,강원 고성군 간성읍 고성중앙길9,033-680-3343,-,0,0,0,0,0,13,28,13,13,0,0,0,200,0,
399,기초,강원특별자치도,동해시,환경과,강원 동해시 천곡로 77,033-530-2366,동해시 폐기물종합단지 등,-,1,4,-,1,1,0,0,0,0,-,500,-,10박스,120
400,기초,강원특별자치도,속초시,친환경과,강원 속초시 중앙로 183,033-639-1578,친환경과 창고,-,2,-,-,-,-,-,20,24,13,940,-,-,22,324
401,기초,강원특별자치도,양구군,환경과,강원 양구군 관공서로 38,033-480-7284,양구군청 등,-,-,-,-,-,-,-,10,10,10,-,-,-,15(박스),-
402,기초,강원특별자치도,양양군,환경과,강원 양양군 양양읍 군청길 1,033-670-2182,환경자원센터 등,0,1,1,1,0,0,1929,0,0,0,0,0,0,14박스,45
403,기초,강원특별자치도,영월군,환경위생과,강원 영월군 영월읍 하송로 64,033-370-2157,환경위생과 보관창고 등,-,-,-,-,-,-,5,5,5,5,-,-,-,24박스,-
404,기초,강원특별자치도,인제군,환경보호과,강원 인제군 인제읍 인제로187번길 8,033-460-4453,인제군청,1,4,2,1,1,3,"19,120",122,20,15,,,,52,72
405,기초,강원특별자치도,정선군,환경과,강원 정선군 정선읍 봉양3길 21,033-560-2354,정선군청 등,-,1,4,-,-,2,5,5,5,5,-,-,-,94박스,14개
406,기초,강원특별자치도,춘천시,자원순환과,강원 춘천시 시청길11,033-250-3127,-,-,-,1,1,5,-,-,-,-,-,-,-,-,-,-
407,기초,강원특별자치도,태백시,환경과,강원 태백시 태붐로 21,033-550-3974,태백시청 등,1,2,2,1,2,3,5,5,,5,-,-,-,"100개/5박스, 50개/2박스",400
408,기초,강원특별자치도,평창군,환경과,강원 평창군 평창읍 군청길 77,330-2333,컨테이너 창고,,,,,,,,,,4,,,,18,6
409,기초,강원특별자치도,홍천군,환경과,강원 홍천군 홍천읍 석화로 93,033-430-2625,홍천군청,-,-,-,-,-,-,-,37,-,7,40,-,-,11박스,-
410,기초,강원특별자치도,횡성군,환경과,강원 횡성군 횡성읍 태기로 15,033-340-2434,횡성군청,0,0,0,0,0,0,0,0,0,0,0,0,0,51박스 (100매/박스),33박스 (18L/박스)
411,광역,제주특별자치도,-,보건환경연구원,제주 제주시 삼동길 41,064-710-6066,보건환경연구원,-,-,-,-,-,-,58,3,-,-,-,-,-,-,-
412,광역,제주특별자치도,-,민속자연사박물관,제주 제주시 삼성로 40,064-710-7705,민속자연사박물관 운영과,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-
413,광역,제주특별자치도,-,동물위생시험소,제주시 조천읍 번영로 941,064-710-8572,동물위생시험소 실험실 및 창고 등,-,-,-,1,-,-,211,158,179,13,-,-,-,3박스(50/box),-
414,광역,제주특별자치도,-,제주농업기술센터,제주시 애월읍 상귀길 173,064-760-7744,제주농업기술센터,-,21,-,1,-,1,-,-,-,-,-,-,-,-,-
415,광역,제주특별자치도,-,서귀포농업기술센터(본소),서귀포시 남원읍 중산간동로 7415,064-760-7851,서귀포농업기술센터(본소),-,15,-,1,-,2,-,-,-,-,-,-,-,-,-
416,광역,제주특별자치도,-,서귀포농업기술센터(분소),서귀포시 중산간서로 207,064-760-7881,서귀포농업기술센터(분소),-,5,-,-,-,-,-,-,-,-,-,-,-,-,-
417,광역,제주특별자치도,-,동부농업기술센터(본소),제주시 구좌읍 충렬로 166,064-760-7651,동부농업기술센터(본소),-,16,-,-,-,1,-,-,-,-,-,-,-,-,-
418,광역,제주특별자치도,-,동부농업기술센터(분소),서귀포시 표선면 서성일로 138,064-760-7681,동부농업기술센터(분소),-,11,-,-,-,1,-,-,-,-,-,-,-,-,-
419,광역,제주특별자치도,-,서부농업기술센터,제주시 한림읍 월림7길 90,064-760-7951,서부농업기술센터,-,26,-,1,-,1,-,-,-,-,-,-,-,-,-
420,광역,제주특별자치도,-,사회재난과,제주시 조천읍 함와로 296,064-710-3633,재난관리자원 통합관리센터,-,-,-,-,-,-,-,"1,000","2,000",-,-,-,-,"8,290\*",-
421,기초,제주특별자치도,서귀포시,안전총괄과,제주 서귀포시 중앙로105(서귀포시청),064-760-3173,서귀포시청,-,-,-,-,-,-,200,50,-,-,-,-,-,-,-
422,기초,제주특별자치도,서귀포시,예래동,제주 서귀포시 예래로 67 (상예동),064-760-4855,예래동주민센터,-,-,-,-,-,-,308,100,-,30,-,1500,-,500,-
423,기초,제주특별자치도,서귀포시,생활환경과,"제주 서귀포시 산록남로1241번길 145(색달동, 서귀포쓰레기위생매립장)",064-760-3853,"색달매립장 주차장, 침출수처리동 등",1,3,1,-,-,2,-,2,20,2,,,-,-,-
424,기초,제주특별자치도,서귀포시,생활환경과,서귀포시 산록남로 1241번길 163,064-760-3783,남부환경관리센터,-,-,2,-,-,2,-,-,-,-,-,-,-,70개,-
425,기초,제주특별자치도,서귀포시,생활환경과,서귀포시 산록남로 1241번길 145,064-760-3782,생활자원회수센터,-,-,1,6,-,2,-,-,-,-,-,-,-,-,-
426,기초,제주특별자치도,제주시,건입동,제주시 만덕로 18(건입동),064-728-4669,건입동주민센터 수방자재창고,-,-,-,-,-,-,526,-,-,20,-,500포,-,146개,-
427,기초,제주특별자치도,제주시,119재난대응과,제주 제주시 중앙로 342,064-729-0174,구조대 장비보관함,-,-,-,-,-,-,0,6,6,6,-,-,-,-,-
428,기초,제주특별자치도,제주시,연동,제주시 연동 신대로 101,064-728-4835,연동주민센터,-,-,-,-,-,-,-,-,-,-,-,-,-,1박스,-
429,기초,제주특별자치도,제주시,구좌읍,제주시 구좌읍 일주동로 3116,064-728-7716,구좌읍사무소,-,-,-,-,-,-,777,-,-,-,-,-,-,-,-
430,기초,제주특별자치도,제주시,오라동,제주 제주시 오라로10길 6,064-728-4814,오라동 주민센터,-,-,-,-,-,-,"1,068",-,-,-,-,250,-,-,-
431,기초,제주특별자치도,제주시,삼도1동,제주시 전농로 40,064-728-8083,삼도1동주민센터,-,-,-,-,-,-,731,-,-,-,-,-,-,-,-
432,기초,제주특별자치도,제주시,조천읍,제주 제주시 조천읍 신북로 194,064-728-7851,조천읍사무소 등,-,-,-,-,-,-,1586,-,-,-,-,500포,-,-,-
433,기초,제주특별자치도,제주시,119특수대응단,산천단동길 24,064-710-3506,119특수대응단 창고,-,-,-,-,-,-,-,54,11,12,-,-,100,8,-
434,광역,제주특별자치도,제주시,용담2동,제주 제주시 흥운길 27,064-728-4635,방재창고 등,-,-,-,-,-,-,-,-,-,-,-,60,-,-,-
435,광역,제주특별자치도,제주시,우도면,제주 제주시 우도면 우도로 153,064-728-4343 064-728-4342,환경기초시설,-,1,1,1,1,1,132,-,-,-,-,-,-,-,-
436,광역,제주특별자치도,제주시,기후환경과,제주 제주시 송이길 226,064-728-8616,봉개 폐기물처리시설,1,4,3,1,-,2,-,-,-,-,-,-,-,-,-
437,기초,제주특별자치도,제주시,총무과,제주 제주시 광양9길 10,064-728-2043,제주시청 민방위창고,-,-,-,-,-,-,895,-,-,-,-,-,-,-,-
