연번,관할청센터,업종,업체명,주소,대표전화,대상폐기물,보유장비,대수
369,여수센터,생활폐기물 수집운반업,백진환경합자회사,전라남도 순천시 대룡길 12 (대룡동),061-742-6703,폐합성수지 등,운반용압축차량,4대
370,여수센터,생활폐기물 수집운반업,백진환경합자회사,전라남도 순천시 대룡길 13 (대룡동),061-742-6704,폐합성수지 등,카고트럭,1대
371,여수센터,사업장비배출시설계 폐기물 수집운반업,부일환경㈜,전라남도 순천시 해촌길 14(조례동),061-723-4000,사업장폐기물,암롤트럭,1대
372,여수센터,사업장비배출시설계 폐기물 수집운반업,부일환경㈜,전라남도 순천시 해촌길 14(조례동),061-723-4000,사업장폐기물,운반용압착차량,2대
373,여수센터,사업장비배출시설계 폐기물 수집운반업,부일환경㈜,전라남도 순천시 해촌길 14(조례동),061-723-4000,사업장폐기물,밀폐식차량,6대
374,여수센터,사업장비배출시설계 폐기물 수집운반업,부일환경㈜,전라남도 순천시 해촌길 14(조례동),061-723-4000,사업장폐기물,덤프트럭,1대
375,여수센터,폐기물 수집·운반업체,(유)동부환경,여수시 상암로 325,061-653-7666,사업장 배출시설계 폐기물,밀폐식차량,4
376,여수센터,폐기물 수집·운반업체,(유)동부환경,여수시 상암로 325,061-653-7666,사업장 배출시설계 폐기물,암롤트럭,4
377,여수센터,폐기물 수집·운반업체,(유)동부환경,여수시 상암로 325,061-653-7666,사업장 배출시설계 폐기물,기계식상차장치부착차량,1
378,여수센터,폐기물 수집·운반업체,(주)녹색환경산업,여수시 소라면 봉두로 61,061-685-3300,사업장 배출시설계 폐기물,밀폐식 운반차량,3
379,여수센터,폐기물 수집·운반업체,(주)녹색환경산업,여수시 소라면 봉두로 61,061-685-3300,사업장 배출시설계 폐기물,밀폐형 덮개 차량,26
380,여수센터,폐기물 수집·운반업체,초록환경산업㈜,여수시 소라면 사곡로 190-6,061-642-6113,사업장 배출시설계 폐기물,카고트럭,1
381,여수센터,폐기물 수집·운반업체,초록환경산업㈜,여수시 소라면 사곡로 190-6,061-642-6113,사업장 배출시설계 폐기물,암롤트럭,1
382,여수센터,폐기물 수집·운반업체,(유)중앙환경건설,여수시 둔덕2길 46,061-654-5301,사업장 배출시설계 폐기물,트럭,2
383,여수센터,폐기물 수집·운반업체,㈜동남환경,여수시 여수산단1로 306,061-685-1525,사업장 배출시설계 폐기물,기계식상차장치부착차량,2
384,여수센터,폐기물 수집·운반업체,㈜동남환경,여수시 여수산단1로 306,061-685-1525,사업장 배출시설계 폐기물,암롤트럭,4
385,여수센터,폐기물 수집·운반업체,㈜동남환경,여수시 여수산단1로 306,061-685-1525,사업장 배출시설계 폐기물,카고트럭,1
386,여수센터,폐기물 수집·운반업체,㈜동남환경,여수시 여수산단1로 306,061-685-1525,사업장 배출시설계 폐기물,기타차량,1
387,여수센터,폐기물 수집·운반업체,㈜유진환경산업,여수시 상암로 648,061-686-9293,사업장 배출시설계 폐기물,덤프트럭,11
388,여수센터,폐기물 수집·운반업체,㈜유진환경산업,여수시 상암로 648,061-686-9293,사업장 배출시설계 폐기물,암롤트럭,1
389,여수센터,폐기물 수집·운반업체,㈜유진환경산업,여수시 상암로 648,061-686-9293,사업장 배출시설계 폐기물,기계식상차장치부착차량,1
390,여수센터,폐기물 수집·운반업체,(유)대한환경,여수시 연등1길 175,061-666-2220,사업장 배출시설계 폐기물,밀폐형덮개차량,3
391,구미센터,종합재활용업,동호테크,경상북도 구미시 산동읍 동백로 243,054-474-2245,폐내화물,수집운반차량,1
392,구미센터,종합재활용업,우원농장,경상북도 구미시 도개면 용산가산길 265-27,,"하수처리오니,분뇨처리오니,가축분뇨처리오니,펄프제지공정오니,펄프ㆍ제지폐수처리오니,그 밖의 폐수처리오니,그 밖의 식물성잔재물",수집운반차량,1
393,구미센터,수집운반업,해평농산,경상북도 구미시 장천면 심곡1길 92,,배출시설계폐기물,수집운반차량,4
394,구미센터,수집운반업,(주)구미환경,경상북도 구미시 산호대로32길 5 (옥계동),054-456-1617,배출시설계폐기물,수집운반차량,13
395,구미센터,수집운반업,(주)모드멘,경상북도 구미시 3공단3로 46-79 (시미동),054-473-1116,배출시설계폐기물,수집운반차량,4
396,구미센터,수집운반업,(주)카이텍,경상북도 구미시 인동43길 21 (구평동),,배출시설계폐기물,수집운반차량,2
397,구미센터,수집운반업,(주)팔팔로지스,"경상북도 구미시 임은길 39, 2층 (임은동)",054-461-8805,배출시설계폐기물,수집운반차량,11
398,구미센터,수집운반업,건화상사,경상북도 구미시 왕산로5길 14-7 (임은동),054-465-4151,배출시설계폐기물,수집운반차량,3
399,구미센터,수집운반업,경안환경,경상북도 구미시 산동읍 임천인덕로 188,054-472-5260,배출시설계폐기물,수집운반차량,2
400,구미센터,수집운반업,금오환경,경상북도 구미시 고아읍 포아로 570,054-456-0090,배출시설계폐기물,수집운반차량,3
401,구미센터,수집운반업,대산자원,경상북도 구미시 고아읍 이례로 24-1,,배출시설계폐기물,수집운반차량,3
402,구미센터,수집운반업,대신환경,"경상북도 구미시 인동48길 33-49, 문화빌 102호",054-474-1723,배출시설계폐기물,수집운반차량,2
403,구미센터,수집운반업,모든자원,경상북도 구미시 해평면 강동로 1248-38,054-471-6994,배출시설계폐기물,수집운반차량,2
404,구미센터,수집운반업,범성환경,경상북도 구미시 구미중앙로42길 5-66 (송정동),,배출시설계폐기물,수집운반차량,6
405,구미센터,수집운반업,삼성환경,경상북도 구미시 고아읍 선산대로 1059-3,,배출시설계폐기물,수집운반차량,3
406,구미센터,수집운반업,세정하이테크(주),경상북도 구미시 고아읍 선산대로 556-32,054-476-6456,배출시설계폐기물,수집운반차량,3
407,구미센터,수집운반업,에버크린,"경상북도 구미시 3공단1로 302-7, 구미공구상가 4동 211호 (임수동)",054-471-1960,배출시설계폐기물,수집운반차량,2
408,구미센터,수집운반업,(주)서흥산업,경상북도 구미시 봉곡남로9길 5 (봉곡동),,배출시설계폐기물,수집운반차량,2
409,구미센터,수집운반업,(주)진영이앤아이,"경상북도 구미시 산동읍 첨단기업1로 17, 구미전자정보기술원 혁신관 203호",054-472-0085,배출시설계폐기물,수집운반차량,2
410,구미센터,수집운반업,주식회사 화신,"경상북도 구미시 봉곡서로11길 19, 102호 (봉곡동)",054-476-6316,배출시설계폐기물,수집운반차량,2
411,구미센터,수집운반업,전원환경 주식회사,"경상북도 구미시 수출대로 523, 301호 (황상동)",054-474-5001,배출시설계폐기물,수집운반차량,2
412,구미센터,수집운반업,혜원자원,경상북도 구미시 4공단로 172-8 (구포동),054-471-4009,배출시설계폐기물,수집운반차량,4
413,구미센터,수집운반업,(주)동특,"경상북도 구미시 낙동강변로 61, 구미화물터미널 204 (오태동)",054-465-0764,배출시설계폐기물,수집운반차량,2
414,구미센터,수집운반업,대광(주),경상북도 구미시 고아읍 원대로 82,,배출시설계폐기물,수집운반차량,2
415,구미센터,수집운반업,부자자원,경상북도 구미시 야은로7길 20-47 (부곡동),,배출시설계폐기물,수집운반차량,2
416,구미센터,수집운반업,아성환경,경상북도 구미시 고아읍 선산대로 512,054-457-9689,배출시설계폐기물,수집운반차량,2
417,구미센터,수집운반업,문성환경,경상북도 구미시 산동읍 임천인덕로 178-5,,배출시설계폐기물,수집운반차량,2
418,구미센터,수집운반업,(주)구미종합물류,"경상북도 구미시 3공단1로 271, 301호 (임수동)",054-474-0547,배출시설계폐기물,수집운반차량,7
419,구미센터,수집운반업,(주)그린환경,경상북도 구미시 지산1길 40 (지산동),054-461-9896,배출시설계폐기물,수집운반차량,2
420,구미센터,수집운반업,(주)희망플라스틱,경상북도 구미시 고아읍 파산2길 19-1,054-482-7380,배출시설계폐기물,수집운반차량,3
421,구미센터,수집운반업,대영산업,경상북도 구미시 산동읍 성림길 35-8,,배출시설계폐기물,수집운반차량,2
422,구미센터,수집운반업,주식회사 티앤에스(지점),"경상북도 구미시 1공단로10길 53-24, 2층 (공단동)",054-800-8070,배출시설계폐기물,수집운반차량,29
423,구미센터,수집운반업,(주)에스에이치로지스,"경상북도 구미시 인동25길 15, 202호 (인의동)",054-473-0208,배출시설계폐기물,수집운반차량,2
424,구미센터,수집운반업,남경자원,경상북도 구미시 고아읍 선산대로 736,,배출시설계폐기물,수집운반차량,2
425,구미센터,수집운반업,㈜금광운수,경상북도 구미시 구미중앙로42길 5-66,,배출시설계폐기물,수집운반차량,6
426,구미센터,수집운반업,선일에코,"경상북도 구미시 박정희로9길 13-1, 202호",,배출시설계폐기물,수집운반차량,2
427,구미센터,중장비 업체,동우종합중기,"경상북도 구미시 백산로 167, 401호(송정동)",,,굴삭기 등,18
428,구미센터,중장비 업체,구미종합중기,경상북도 구미시 수출대로 340(임수동),,,굴삭기 등,46
429,구미센터,중장비 업체,금오종합중기,경상북도 구미시 송정대로143-8(송정동),,,굴삭기 등,22
430,구미센터,중장비 업체,근아상사,대구광역시 군위군 소보면 서금로 284-10,057-8382-4703,,굴삭기(무한궤도식),1
431,구미센터,중장비 업체,(주)대인중기,대구광역시 군위군 군위읍 경북대로 3986,054-382-8977,,굴삭기(타이어식),76
432,구미센터,중장비 업체,평강농업회사법인주식회사,대구광역시 군위군 군위읍 대흥1길 14-45,,,굴삭기(무한궤도식),1
433,구미센터,중장비 업체,경북현대중기 주식회사,대구광역시 군위군 효령면 하평길 7,053-953-7766,,굴삭기(타이어식),50
434,구미센터,중장비 업체,경북현대중기 주식회사,대구광역시 군위군 효령면 하평길 7,053-953-7766,,굴삭기(무한궤도식),26
435,구미센터,중장비 업체,군위중기 주식회사,대구광역시 군위군 소보면 송원3길 35-16,054-383-2501,,굴삭기(타이어식),139
436,구미센터,중장비 업체,군위중기 주식회사,대구광역시 군위군 소보면 송원3길 35-16,054-383-2501,,굴삭기(무한궤도식),42
437,구미센터,중장비 업체,(주)군위건설기계,대구광역시 군위군 군위읍 군청로 140,054-383-4466,,굴삭기(타이어식),139
438,구미센터,중장비 업체,(주)군위건설기계,대구광역시 군위군 군위읍 군청로 140,054-383-4466,,굴삭기(무한궤도식),42
439,구미센터,중장비 업체,대성건업,대구광역시 군위군 군위읍 동서7길 9-13,,,굴삭기(무한궤도식),1
440,구미센터,중장비 업체,산동건설(주),대구광역시 군위군 소보면 송원4길 2,054-382-4154,,굴삭기(무한궤도식),1
441,구미센터,중장비 업체,대성건설(주),"대구광역시 군위군 군위읍 경북대로 3389, 401호",054-382-8825,,굴삭기(타이어식),1
442,구미센터,중장비 업체,대성건설(주),"대구광역시 군위군 군위읍 경북대로 3389, 401호",054-382-8825,,굴삭기(무한궤도식),1
443,구미센터,폐기물 수집·운반업체,(주)그린리싸이텍 (수집운반),경상북도 김천시 감천면 금감로 1222-11,,사업장배출시설계폐기물,기계식상차장치부착차량,1
444,구미센터,폐기물 수집·운반업체,(주)그린리싸이텍 (수집운반),경상북도 김천시 감천면 금감로 1222-11,,사업장배출시설계폐기물,밀폐식차량,1
445,구미센터,폐기물 수집·운반업체,(주)그린리싸이텍 (수집운반),경상북도 김천시 감천면 금감로 1222-11,,사업장배출시설계폐기물,카고트럭,1
446,구미센터,폐기물 수집·운반업체,(주)중원,경상북도 김천시 양천동 114-5,054-810-8595,그 밖의 무기성오니 / 폐수처리오니,덤프트럭,4
447,구미센터,폐기물 수집·운반업체,거성환경,경상북도 김천시 하로길 96 (양천동),054-433-2221,사업장배출시설계폐기물,기계식상차장치부착차량,1
448,구미센터,폐기물 수집·운반업체,거성환경,경상북도 김천시 하로길 96 (양천동),054-433-2221,사업장배출시설계폐기물,카고트럭,1
449,구미센터,폐기물 수집·운반업체,녹색자원,경상북도 김천시 신기3길 4-1 (신음동),,그 밖의 폐섬유,밀폐식차량,2
450,구미센터,폐기물 수집·운반업체,녹색자원,경상북도 김천시 신기3길 4-1 (신음동),,그 밖의 폐섬유,카고트럭,3
451,구미센터,폐기물 수집·운반업체,명품자원,경상북도 김천시 봉산면 봉산1로 213,054-439-0093,사업장배출시설계폐기물,집게차,1
452,구미센터,폐기물 수집·운반업체,명품자원,경상북도 김천시 봉산면 봉산1로 213,054-439-0093,사업장배출시설계폐기물,카고트럭,1
453,구미센터,폐기물 수집·운반업체,무진종합상사,경상북도 김천시 아포읍 야리길 36-15,,사업장배출시설계폐기물,기계식상차장치부착차량,2
454,구미센터,폐기물 수집·운반업체,무진종합상사,경상북도 김천시 아포읍 야리길 36-15,,사업장배출시설계폐기물,카고트럭,1
455,구미센터,폐기물 수집·운반업체,성경환경,경상북도 김천시 농소면 농남로 412,054-436-7747,사업장배출시설계폐기물,기계식상차장치부착차량,4
456,구미센터,폐기물 수집·운반업체,성경환경,경상북도 김천시 농소면 농남로 412,054-436-7747,사업장배출시설계폐기물,암롤트럭,3
457,구미센터,폐기물 수집·운반업체,성경환경,경상북도 김천시 농소면 농남로 412,054-436-7747,사업장배출시설계폐기물,카고트럭,1
458,구미센터,폐기물 수집·운반업체,숙기수지,경상북도 김천시 남면 농남로 912-3,,사업장배출시설계폐기물,기계식상차장치부착차량,1
459,구미센터,폐기물 수집·운반업체,숙기수지,경상북도 김천시 남면 농남로 912-3,,사업장배출시설계폐기물,집게차,2
460,구미센터,폐기물 수집·운반업체,숙기수지,경상북도 김천시 남면 농남로 912-3,,사업장배출시설계폐기물,카고트럭,3
461,구미센터,폐기물 수집·운반업체,신영환경,경상북도 김천시 남면 주천로 1501-6,,사업장생활계폐기물,암롤트럭,1
462,구미센터,폐기물 수집·운반업체,신영환경,경상북도 김천시 남면 주천로 1501-6,,사업장생활계폐기물,집게차,1
463,구미센터,폐기물 수집·운반업체,신영환경,경상북도 김천시 남면 주천로 1501-6,,사업장생활계폐기물,카고트럭,1
464,구미센터,폐기물 수집·운반업체,신원환경(주),경상북도 김천시 평화12길 16\_ 1층 (평화동),,폐수처리오니 / 영농폐기물(농업활동 과정에서 배출된 농업용 폐플라스틱 필름ㆍ시트류에 한정한다) 폐수처리오니 등,암롤트럭,2
465,구미센터,폐기물 수집·운반업체,신원환경(주),경상북도 김천시 평화12길 16\_ 1층 (평화동),,폐수처리오니 / 영농폐기물(농업활동 과정에서 배출된 농업용 폐플라스틱 필름ㆍ시트류에 한정한다) 폐수처리오니 등,탱크로리,1
466,구미센터,폐기물 수집·운반업체,초림환경(주),경상북도 구미시 송동로 42-53 (도량동),,폐합성수지류(폐염화비닐수지류는 제외한다) / 폐합성고무류 등,밀폐식차량,1
467,구미센터,폐기물 수집·운반업체,초림환경(주),경상북도 구미시 송동로 42-53 (도량동),,폐합성수지류(폐염화비닐수지류는 제외한다) / 폐합성고무류 등,탱크로리,2
468,구미센터,중장비 업체,효문건기(주),경상북도 문경시 시양골길 11(공평동),054-554-1561,,굴착기,1대
469,구미센터,중장비 업체,주식회사 일도건설,경상북도 문경시 점촌역옆길 19-1(점촌동),,,굴착기,2대
470,구미센터,중장비 업체,부강건설(주),경상북도 문경시 윤직동2길 34-38(점촌동),054-555-0407,,굴착기,6대
471,구미센터,중장비 업체,부강건설(주),경상북도 문경시 윤직동2길 34-38(점촌동),054-555-0407,,덤프트럭,2대
472,구미센터,중장비 업체,백학중기,경상북도 상주시 모서면 백학리 324번지,,,굴착기,1
473,구미센터,중장비 업체,상주대형중기화물(주),경상북도 상주시 식산로 96,,,굴착기,56
474,구미센터,중장비 업체,강산종합건기(주),경상북도 상주시 식산로 96,,,굴착기,90
475,구미센터,중장비 업체,대우종합건기(주),경상북도 상주시 식산로 96,,,굴착기,51
476,구미센터,중장비 업체,(주)삼백환경,경상북도 상주시 선상서로 2389-54,,,굴착기,1
477,구미센터,중장비 업체,(주) 우일 개발,경상북도 상주시 헌신1길 121,,,굴착기,1
478,구미센터,중장비 업체,(주) 미래종합건기,경상북도 상주시 외답4길 2,,,굴착기,109
479,구미센터,중장비 업체,프라콘,경상북도 상주시 은척면 우기1길 48-33,,,굴착기,15
480,구미센터,중장비 업체,(주)호경건설,경상북도 상주시 함창읍 함령길 94,,,굴착기,1
481,구미센터,중장비 업체,참먹거리영농조합,경상북도 상주시 내서면 서원리 278번지 5호,,,굴착기,
482,구미센터,중장비 업체,(주)가가종합특수,"경상북도 상주시 북상주로 26, 1층",,,굴착기,1
483,구미센터,중장비 업체,(주)예일,경상북도 상주시 왕산로 246-1,,,굴착기,1
484,구미센터,중장비 업체,주식회사 무림이엔씨,경상북도 상주시 외답6길 36,,,굴착기,1
485,구미센터,중장비 업체,미래디자인,경상북도 상주시 봉양1길 26,,,굴착기,1
486,구미센터,폐기물 수집·운반업체,금강물류(주) 상주영업소,경상북도 상주시 공검면 경상대로 4256-17,054-541-4412,"폐합성수지류, 사업장페기물 소각시설 바닥재 등",밀폐식차량,4
487,구미센터,폐기물 중간처리업체,㈜새한산업개발,경북 성주군 선남면 선노로 582-4,054-933-8568,폐합성수지 등,메가트럭,1
488,구미센터,폐기물 중간처리업체,㈜새한산업개발,경북 성주군 선남면 선노로 582-4,054-933-8568,폐합성수지 등,암롤트럭,1
489,구미센터,폐기물 중간처리업체,㈜새한산업개발,경북 성주군 선남면 선노로 582-4,054-933-8568,폐합성수지 등,크레인집게차,1
490,구미센터,폐기물 수집·운반업체,㈜더블에스,경북 성주군 월항면 죽관길 12-5,054-931-8872,폐합성수지 등,덤프트럭,2
491,구미센터,폐기물 수집·운반업체,대가환경기술,경북 성주군 대가면 참별로 2152,053-588-2500,폐합성수지 등,밀폐형덮개설치차량,2
492,구미센터,중장비 업체,(주)명선,경상북도 안동시 운동장길 24(정하동),054-854-5177,-,-,-
493,구미센터,중장비 업체,(주)안동건설기계,"경상북도 안동시 어가골윗길 10-3, B동 201호 (태화동, 우성상가)",054-841-8000,-,-,-
494,구미센터,중장비 업체,(주)동양중기,경상북도 안동시 강남7길 13(정하동),054-852-5995,-,-,-
495,구미센터,중장비 업체,금강건설기계(주),"경상북도 안동시 육사로 333, 2층 201호 (법흥동, 안동강변펠리시아아파트 상가동)",054-841-8300,-,-,-
496,구미센터,중장비 업체,정림산업,경상북도 안동시 송현동 389번지 10호,054-852-6958,-,-,-
497,구미센터,중장비 업체,(주)제일건설기계,"경상북도 안동시 광명로 212-16, 지하1층 107호 (옥동, 옥동삼성베스트캐슬)",054-853-9660,-,-,-
498,구미센터,중장비 업체,(주)부성포장중기,경상북도 안동시 앙실3길 19-60(수하동),054-858-2471,-,-,-
499,구미센터,중장비 업체,안동중앙펌프카,경상북도 안동시 충효로 4381(정상동),054-843-9797,-,-,-
500,구미센터,중장비 업체,(주)안동운수,경상북도 안동시 풍산읍 금당길 2,-,-,-,-
501,구미센터,중장비 업체,(주)낙동골재,경상북도 안동시 앙실2길 74-46(옥동),054-858-2881,-,-,-
502,구미센터,중장비 업체,제이에스건설기계(주),"경상북도 안동시 강남14길 76, 1층 에이-102호(정상동)",054-855-3236,-,-,-
503,구미센터,중장비 업체,(주)종합건설기계,경상북도 안동시 공단로 74(수상동),054-856-8855,-,-,-
504,구미센터,중장비 업체,(주)경북건설기계,"경상북도 안동시 서후면 귀여리길 32, 101호",-,-,-,-
505,구미센터,중장비 업체,나미(주),"경상북도 안동시 경북대로 418, 비이동 306호 (옥동, 테마프라자)",054-852-2355,-,-,-
506,구미센터,중장비 업체,(주)성광조경,"경상북도 안동시 경북대로 679-16, 1층(송현동)",054-842-2013,-,-,-
507,구미센터,중장비 업체,여산,경상북도 안동시 와룡면 태리 135번지 6호,-,-,-,-
508,구미센터,중장비 업체,대흥스틸산업,경상북도 안동시 강남로 10-3(수상동),054-858-8181,-,-,-
509,구미센터,중장비 업체,에이스 미니포크레인 미니굴착기 대여,경상북도 안동시 숲쟁이1길 1(용상동),-,-,-,-
510,구미센터,중장비 업체,케이에스산업,경상북도 안동시 풍천면 월애길 178-50,-,-,-,-
511,구미센터,중장비 업체,청룡중기,"경상북도 안동시 제비원로 268-7(안기동, 상가 113호)",-,-,-,-
512,구미센터,중장비 업체,(주)선명포장,경상북도 안동시 서후면 학가산온천길 214-13,054-843-8860,-,-,-
513,구미센터,중장비 업체,(주)강운,경상북도 안동시 임하면 충효로 3445,054-852-4170,-,-,-
514,구미센터,중장비 업체,신건건업,경상북도 안동시 남선면 기느리길 226,-,-,-,-
515,구미센터,중장비 업체,동안동건설기계,경상북도 안동시 임하면 신덕리 1023번지 8호,-,-,-,-
516,구미센터,중장비 업체,대길건설기계,경상북도 안동시 수상동 780번지 4호,-,-,-,-
517,구미센터,폐기물 수집·운반업체,(주)길물류,경상북도 영주시 적서로 277 (적서동),0546384321,"폐수처리오니, 사업장배출시설계폐기물, 폐합성섬유",덤프트럭,6대
518,구미센터,폐기물 수집·운반업체,(주)길물류,경상북도 영주시 적서로 277 (적서동),0546384321,"폐수처리오니, 사업장배출시설계폐기물, 폐합성섬유",카고트럭,1대
519,구미센터,폐기물 수집·운반업체,(주)대신환경,경상북도 영주시 적서공단로 134-1 (적서동),054-635-5577,하수준설토,탱크로리,1대
520,구미센터,폐기물 수집·운반업체,(주)대신환경,경상북도 영주시 적서공단로 134-1 (적서동),054-635-5577,하수준설토,밀폐식차량,1대
521,구미센터,중장비 업체,(사)건설기계 개별연명 사업자 협회 경북의성지회,,054- 830-6176,,,의성군 MOU체결
522,울산센터,폐기물 수집·운반업체,세아산업㈜,울산광역시 남구 산업로118번길 8(상개동),052-261-8555,사업장배출시설계(고상),암롤트럭,5대
523,울산센터,폐기물 수집·운반업체,세아산업㈜,울산광역시 남구 산업로118번길 8(상개동),052-261-8555,사업장배출시설계(고상),집게트럭,1대
524,울산센터,폐기물 수집·운반업체,세아산업㈜,울산광역시 남구 산업로118번길 8(상개동),052-261-8555,사업장배출시설계(고상),기계식상차장치,1대
525,울산센터,폐기물 수집·운반업체,세아산업㈜,울산광역시 남구 산업로118번길 8(상개동),052-261-8555,사업장배출시설계(고상),덤프트럭,1대
526,울산센터,폐기물 수집·운반업체,NC울산㈜,울산광역시 남구 용잠로 339(용잠동),052-256-0111,사업장배출시설계(고상),크레인,1대
527,울산센터,폐기물 수집·운반업체,NC울산㈜,울산광역시 남구 용잠로 340(용잠동),052-256-0112,사업장배출시설계(고상),크레인카고,1대
528,울산센터,폐기물 수집·운반업체,임창산업,"울산광역시 남구 두왕로 190 (선암동, 한라전원맨션), 상가 2호",052-257-0399,사업장배출시설계(고상),덤프트럭,1대
529,울산센터,폐기물 수집·운반업체,임창산업,"울산광역시 남구 두왕로 190 (선암동, 한라전원맨션), 상가 3호",052-257-0400,사업장배출시설계(고상),암롤트럭,2대
530,울산센터,폐기물 수집·운반업체,㈜영진에코,울산광역시 남구 용잠로 328 (용잠동),052-256-1597,"사업장배출시설계(고상, 액상)",암롤트럭,5대
531,울산센터,폐기물 수집·운반업체,㈜영진에코,울산광역시 남구 용잠로 328 (용잠동),052-256-1597,"사업장배출시설계(고상, 액상)",기계식상차장치,2대
532,울산센터,폐기물 수집·운반업체,씨제이대한통운㈜,울산광역시 남구 장생포고래로 292 (매암동),052-226-3356,사업장배출시설계(고상),덤프트럭,5대
533,울산센터,폐기물 수집·운반업체,씨제이대한통운㈜,울산광역시 남구 장생포고래로 292 (매암동),052-226-3356,사업장배출시설계(고상),트랙터,1대
534,울산센터,폐기물 수집·운반업체,재호상사,울산광역시 남구 산업로382번길 8 (여천동),052-272-2379,사업장배출시설계(고상),집게트럭,2대
535,울산센터,폐기물 수집·운반업체,재호상사,울산광역시 남구 산업로382번길 8 (여천동),052-272-2379,사업장배출시설계(고상),크레인집게차,1대
536,울산센터,폐기물 수집·운반업체,대웅상사,울산광역시 남구 화합로 86-34 (여천동),052-265-3799,사업장배출시설계(고상),하이카,2대
537,울산센터,폐기물 수집·운반업체,대웅상사,울산광역시 남구 화합로 86-34 (여천동),052-265-3799,사업장배출시설계(고상),윙바디,1대
538,울산센터,폐기물 수집·운반업체,㈜부천이엔티,"울산광역시 남구 정동로104번길 12, 1층 (삼산동)",052-258-8599,사업장배출시설계(고상),암롤트럭,5대
539,울산센터,폐기물 수집·운반업체,㈜부천이엔티,"울산광역시 남구 정동로104번길 12, 1층 (삼산동)",052-258-8599,사업장배출시설계(고상),카고트럭,2대
540,울산센터,폐기물 수집·운반업체,㈜부천이엔티,"울산광역시 남구 정동로104번길 12, 1층 (삼산동)",052-258-8599,사업장배출시설계(고상),덤프트럭,13대
541,울산센터,폐기물 수집·운반업체,㈜새길물류,울산광역시 남구 온산로 839 (두왕동),052-268-6776,사업장배출시설계(고상),암롤트럭,2대
542,울산센터,폐기물 수집·운반업체,㈜송양,울산광역시 남구 장생포고래로155번길 4(장생포동),052-257-4477,사업장배출시설계(액상),탱크로리,6대
543,울산센터,폐기물 수집·운반업체,좋은환경,"울산광역시 남구 삼산로 157, 406호(달동)",,사업장배출시설계(고상),카고트럭,2대
544,울산센터,폐기물 수집·운반업체,좋은환경,"울산광역시 남구 삼산로 157, 406호(달동)",,사업장배출시설계(고상),집게트럭,1대
545,울산센터,폐기물 수집·운반업체,㈜삼영이엔지,울산광역시 남구 처용로487번길 32(성암동),052-271-0732,사업장배출시설계(고상),카고트럭,2대
546,울산센터,폐기물 수집·운반업체,㈜에너지파크,울산광역시 남구 처용로 695(황성동),052-278-6832,사업장배출시설계(고상),카고트럭,2대
547,울산센터,폐기물 수집·운반업체,㈜에너지파크,울산광역시 남구 처용로 695(황성동),052-278-6832,사업장배출시설계(고상),집게트럭,1대
548,울산센터,폐기물 수집·운반업체,㈜와이제이물류,"울산광역시 남구 돋질로76번길 11, 2층(달동)",052-227-9166,사업장배출시설계(고상),트레일러,4대
549,울산센터,폐기물 수집·운반업체,원에코,"울산광역시 남구 달삼로 76, 311호(달동)",,사업장배출시설계(고상),기계식상차장치,1대
550,울산센터,폐기물 수집·운반업체,원에코,"울산광역시 남구 달삼로 76, 311호(달동)",,사업장배출시설계(고상),카고트럭,1대
551,울산센터,중장비 업체,우진종합중기,울산광역시 남구 삼산동 1629-21,052-256-5630,,,
552,울산센터,중장비 업체,오성건설기계(금풍건설기계),울산광역시 남구 장생포로 15,,,,
553,울산센터,중장비 업체,동중중기,울산광역시 산 남구 산업로340번길 16,,,,
554,울산센터,중장비 업체,덕성㈜,울산광역시 남구 왕생로40번길 26-1,052-269-4928,,,
555,울산센터,중장비 업체,대영종합중기,울산광역시 남구 월평로199번길 14,052-227-9690,,,
556,울산센터,중장비 업체,금강중기㈜,울산광역시 남구 두왕동 459-9,,,,
557,울산센터,폐기물 수집·운반업체,한창개발㈜,울산광역시 중구 번영로 413,052-293-3290,생활폐기물,탱크로리,4대
558,울산센터,폐기물 수집·운반업체,한창개발㈜,울산광역시 중구 번영로 413,052-293-3290,생활폐기물,카고트럭,6대
559,울산센터,폐기물 수집·운반업체,㈜청화,울산광역시 동구 방어진순환도로 1000(전하동),052-234-5919,사업장배출시설계폐기물,암롤트럭,5대
560,울산센터,,,,,,카고트럭,3대
561,울산센터,폐기물 수집·운반업체,용암환경,울산광역시 동구 방어진순환도로 100(방어동),052-250-6942,사업장배출시설계폐기물,암롤트럭,3대
562,울산센터,폐기물 수집·운반업체,울산환경폐기물,울산광역시 북구 동대10길 6 (호계동),052-282-7267,"사업장 배출시설계 폐기물(폐합성수지류(51-03-01), 폐합성고무류(51-03-02), 폐종이류(51-28-02), 폐가구류폐도장목폐목재포장재폐전선드럼(51-20-06))",밀폐형덮개설치차량,3대
563,울산센터,폐기물 수집·운반업체,SB그린산업,울산광역시 북구 매곡동 731,052-269-8224,사업장배출시설계폐기물(고상),밀폐형덮개설치차량,2대
564,울산센터,폐기물 수집·운반업체,SB그린산업,울산광역시 북구 매곡동 731,052-269-8224,사업장배출시설계폐기물(고상),집게차,1대
565,울산센터,지정폐기물 수집운반업체,㈜경남로지스,경상남도 양산시 산막공단로 56(북정동),055-387-2277,"액상, 고상, 액.고상",,
