연번,설치장소,산단·고속도로,주소,관리주체,방재장비,단위,컨테이너장비함,간이방재함,계,연락망
22-11,어린이교통공원(군산1국가산단),군산1국가산단,전북특별자치도 군산시 동장산로 135,군산시,투척용 소화기,개,-,-,2,-
22-12,어린이교통공원(군산1국가산단),군산1국가산단,전북특별자치도 군산시 동장산로 135,군산시,배수 펌프,개,-,-,1,-
22-13,어린이교통공원(군산1국가산단),군산1국가산단,전북특별자치도 군산시 동장산로 135,군산시,플라스틱 빗자루,개,-,-,5,-
22-14,어린이교통공원(군산1국가산단),군산1국가산단,전북특별자치도 군산시 동장산로 135,군산시,삽,개,-,-,5,-
22-15,어린이교통공원(군산1국가산단),군산1국가산단,전북특별자치도 군산시 동장산로 135,군산시,폐기물봉투,개,-,-,2,-
22-16,어린이교통공원(군산1국가산단),군산1국가산단,전북특별자치도 군산시 동장산로 135,군산시,경고 테이프(접근 제한),개,-,-,1,-
22-17,어린이교통공원(군산1국가산단),군산1국가산단,전북특별자치도 군산시 동장산로 135,군산시,오수 차폐 블럭,개,-,-,1,-
23-1,삼양화인테크놀로지㈜(군산2국가산단),군산2국가산단,전북특별자치도 군산시 자유무역 1길 63,군산시,화학보호복 3형식,개,-,-,5,-
23-2,삼양화인테크놀로지㈜(군산2국가산단),군산2국가산단,전북특별자치도 군산시 자유무역 1길 63,군산시,전면형 방독면,개,-,-,5,-
23-3,삼양화인테크놀로지㈜(군산2국가산단),군산2국가산단,전북특별자치도 군산시 자유무역 1길 63,군산시,방독면 필터,개,-,-,5,-
23-4,삼양화인테크놀로지㈜(군산2국가산단),군산2국가산단,전북특별자치도 군산시 자유무역 1길 63,군산시,내화학장화,개,-,-,5,-
23-5,삼양화인테크놀로지㈜(군산2국가산단),군산2국가산단,전북특별자치도 군산시 자유무역 1길 63,군산시,내화학장갑,개,-,-,5,-
23-6,삼양화인테크놀로지㈜(군산2국가산단),군산2국가산단,전북특별자치도 군산시 자유무역 1길 63,군산시,화학물질 흡착포(붐형),개,-,-,15,-
23-7,삼양화인테크놀로지㈜(군산2국가산단),군산2국가산단,전북특별자치도 군산시 자유무역 1길 63,군산시,화학물질 흡착포(패드형),개,-,-,30,-
23-8,삼양화인테크놀로지㈜(군산2국가산단),군산2국가산단,전북특별자치도 군산시 자유무역 1길 63,군산시,모래주머니,개,-,-,30,-
23-9,삼양화인테크놀로지㈜(군산2국가산단),군산2국가산단,전북특별자치도 군산시 자유무역 1길 63,군산시,모래주머니포,개,-,-,10,-
23-10,삼양화인테크놀로지㈜(군산2국가산단),군산2국가산단,전북특별자치도 군산시 자유무역 1길 63,군산시,분말형 소화기,개,-,-,2,-
23-11,삼양화인테크놀로지㈜(군산2국가산단),군산2국가산단,전북특별자치도 군산시 자유무역 1길 63,군산시,투척용 소화기,개,-,-,2,-
23-12,삼양화인테크놀로지㈜(군산2국가산단),군산2국가산단,전북특별자치도 군산시 자유무역 1길 63,군산시,배수 펌프,개,-,-,1,-
23-13,삼양화인테크놀로지㈜(군산2국가산단),군산2국가산단,전북특별자치도 군산시 자유무역 1길 63,군산시,플라스틱 빗자루,개,-,-,5,-
23-14,삼양화인테크놀로지㈜(군산2국가산단),군산2국가산단,전북특별자치도 군산시 자유무역 1길 63,군산시,삽,개,-,-,5,-
23-15,삼양화인테크놀로지㈜(군산2국가산단),군산2국가산단,전북특별자치도 군산시 자유무역 1길 63,군산시,폐기물봉투,개,-,-,2,-
23-16,삼양화인테크놀로지㈜(군산2국가산단),군산2국가산단,전북특별자치도 군산시 자유무역 1길 63,군산시,경고 테이프(접근 제한),개,-,-,1,-
24-1,이피캠텍㈜ 2공장(새만금산단),새만금산단,전북특별자치도 군산시 새만금산단 2로 358,군산시,화학보호복 3형식,개,-,-,5,-
24-2,이피캠텍㈜ 2공장(새만금산단),새만금산단,전북특별자치도 군산시 새만금산단 2로 358,군산시,전면형 방독면,개,-,-,5,-
24-3,이피캠텍㈜ 2공장(새만금산단),새만금산단,전북특별자치도 군산시 새만금산단 2로 358,군산시,방독면 필터,개,-,-,5,-
24-4,이피캠텍㈜ 2공장(새만금산단),새만금산단,전북특별자치도 군산시 새만금산단 2로 358,군산시,내화학장화,개,-,-,5,-
24-5,이피캠텍㈜ 2공장(새만금산단),새만금산단,전북특별자치도 군산시 새만금산단 2로 358,군산시,내화학장갑,개,-,-,5,-
24-6,이피캠텍㈜ 2공장(새만금산단),새만금산단,전북특별자치도 군산시 새만금산단 2로 358,군산시,화학물질 흡착포(붐형),개,-,-,15,-
24-7,이피캠텍㈜ 2공장(새만금산단),새만금산단,전북특별자치도 군산시 새만금산단 2로 358,군산시,화학물질 흡착포(패드형),개,-,-,30,-
24-8,이피캠텍㈜ 2공장(새만금산단),새만금산단,전북특별자치도 군산시 새만금산단 2로 358,군산시,모래주머니,개,-,-,30,-
24-9,이피캠텍㈜ 2공장(새만금산단),새만금산단,전북특별자치도 군산시 새만금산단 2로 358,군산시,모래주머니포,개,-,-,10,-
24-10,이피캠텍㈜ 2공장(새만금산단),새만금산단,전북특별자치도 군산시 새만금산단 2로 358,군산시,분말형 소화기,개,-,-,2,-
24-11,이피캠텍㈜ 2공장(새만금산단),새만금산단,전북특별자치도 군산시 새만금산단 2로 358,군산시,투척용 소화기,개,-,-,2,-
24-12,이피캠텍㈜ 2공장(새만금산단),새만금산단,전북특별자치도 군산시 새만금산단 2로 358,군산시,배수 펌프,개,-,-,1,-
24-13,이피캠텍㈜ 2공장(새만금산단),새만금산단,전북특별자치도 군산시 새만금산단 2로 358,군산시,플라스틱 빗자루,개,-,-,5,-
24-14,이피캠텍㈜ 2공장(새만금산단),새만금산단,전북특별자치도 군산시 새만금산단 2로 358,군산시,삽,개,-,-,5,-
24-15,이피캠텍㈜ 2공장(새만금산단),새만금산단,전북특별자치도 군산시 새만금산단 2로 358,군산시,폐기물봉투,개,-,-,2,-
24-16,이피캠텍㈜ 2공장(새만금산단),새만금산단,전북특별자치도 군산시 새만금산단 2로 358,군산시,경고 테이프(접근 제한),개,-,-,1,-
25-1,(주)휴비스전주공장,전주제2일반산단,전북특별자치도 전주시 덕진구 기린대로 787,전북도청,오일펜스,개,-,-,1,-
25-2,(주)휴비스전주공장,전주제2일반산단,전북특별자치도 전주시 덕진구 기린대로 787,전북도청,유흡착제,개,-,-,25,-
25-3,(주)휴비스전주공장,전주제2일반산단,전북특별자치도 전주시 덕진구 기린대로 787,전북도청,유처리제,개,-,-,5,-
25-4,(주)휴비스전주공장,전주제2일반산단,전북특별자치도 전주시 덕진구 기린대로 787,전북도청,유처리제 살포기,개,-,-,2,-
25-5,(주)휴비스전주공장,전주제2일반산단,전북특별자치도 전주시 덕진구 기린대로 787,전북도청,케미칼미니붐,개,-,-,7,-
25-6,(주)휴비스전주공장,전주제2일반산단,전북특별자치도 전주시 덕진구 기린대로 787,전북도청,미니붐(유류),개,-,-,5,-
25-7,(주)휴비스전주공장,전주제2일반산단,전북특별자치도 전주시 덕진구 기린대로 787,전북도청,화학물질흡착제,개,-,-,11,-
25-8,(주)휴비스전주공장,전주제2일반산단,전북특별자치도 전주시 덕진구 기린대로 787,전북도청,방독마스크(반면형),개,-,-,8,-
25-9,(주)휴비스전주공장,전주제2일반산단,전북특별자치도 전주시 덕진구 기린대로 787,전북도청,방독마스크(전면형),개,-,-,7,-
25-10,(주)휴비스전주공장,전주제2일반산단,전북특별자치도 전주시 덕진구 기린대로 787,전북도청,정화통,개,-,-,8,-
25-11,(주)휴비스전주공장,전주제2일반산단,전북특별자치도 전주시 덕진구 기린대로 787,전북도청,정화통(전면형),개,-,-,10,-
25-12,(주)휴비스전주공장,전주제2일반산단,전북특별자치도 전주시 덕진구 기린대로 787,전북도청,pH페이퍼,개,-,-,3,-
25-13,(주)휴비스전주공장,전주제2일반산단,전북특별자치도 전주시 덕진구 기린대로 787,전북도청,화학복,개,-,-,9,-
25-14,(주)휴비스전주공장,전주제2일반산단,전북특별자치도 전주시 덕진구 기린대로 787,전북도청,가슴장화,개,-,-,10,-
25-15,(주)휴비스전주공장,전주제2일반산단,전북특별자치도 전주시 덕진구 기린대로 787,전북도청,내화학장갑,개,-,-,10,-
25-16,(주)휴비스전주공장,전주제2일반산단,전북특별자치도 전주시 덕진구 기린대로 787,전북도청,내산장화,개,-,-,2,-
26-1,미원상사㈜ 익산공장,익산제4일반산단,전북특별자치도 익산시 낭산면 미륵사지로 820-25,전북도청,오일펜스,개,-,-,1,-
26-2,미원상사㈜ 익산공장,익산제4일반산단,전북특별자치도 익산시 낭산면 미륵사지로 820-25,전북도청,유흡착제,개,-,-,14,-
26-3,미원상사㈜ 익산공장,익산제4일반산단,전북특별자치도 익산시 낭산면 미륵사지로 820-25,전북도청,유처리제,개,-,-,5,-
26-4,미원상사㈜ 익산공장,익산제4일반산단,전북특별자치도 익산시 낭산면 미륵사지로 820-25,전북도청,유처리제 살포기,개,-,-,2,-
26-5,미원상사㈜ 익산공장,익산제4일반산단,전북특별자치도 익산시 낭산면 미륵사지로 820-25,전북도청,케미칼미니붐,개,-,-,3,-
26-6,미원상사㈜ 익산공장,익산제4일반산단,전북특별자치도 익산시 낭산면 미륵사지로 820-25,전북도청,미니붐(유류),개,-,-,2,-
26-7,미원상사㈜ 익산공장,익산제4일반산단,전북특별자치도 익산시 낭산면 미륵사지로 820-25,전북도청,화학물질흡착제,개,-,-,2,-
26-8,미원상사㈜ 익산공장,익산제4일반산단,전북특별자치도 익산시 낭산면 미륵사지로 820-25,전북도청,방독마스크(반면형),개,-,-,8,-
26-9,미원상사㈜ 익산공장,익산제4일반산단,전북특별자치도 익산시 낭산면 미륵사지로 820-25,전북도청,방독마스크(전면형),개,-,-,5,-
26-10,미원상사㈜ 익산공장,익산제4일반산단,전북특별자치도 익산시 낭산면 미륵사지로 820-25,전북도청,정화통,개,-,-,8,-
26-11,미원상사㈜ 익산공장,익산제4일반산단,전북특별자치도 익산시 낭산면 미륵사지로 820-25,전북도청,pH페이퍼,개,-,-,3,-
27-1,신제타코리아㈜,익산제2일반산단,전북특별자치도 익산시 석암로 11길 87,전북도청,미니붐(유류),개,-,-,4,-
27-2,신제타코리아㈜,익산제2일반산단,전북특별자치도 익산시 석암로 11길 87,전북도청,방독마스크(전면형),개,-,-,2,-
27-3,신제타코리아㈜,익산제2일반산단,전북특별자치도 익산시 석암로 11길 87,전북도청,정화통(전면형),개,-,-,4,-
27-4,신제타코리아㈜,익산제2일반산단,전북특별자치도 익산시 석암로 11길 87,전북도청,화학복,개,-,-,9,-
27-5,신제타코리아㈜,익산제2일반산단,전북특별자치도 익산시 석암로 11길 87,전북도청,가슴장화,개,-,-,10,-
27-6,신제타코리아㈜,익산제2일반산단,전북특별자치도 익산시 석암로 11길 87,전북도청,내화학장갑,개,-,-,10,-
27-7,신제타코리아㈜,익산제2일반산단,전북특별자치도 익산시 석암로 11길 87,전북도청,내산장화,개,-,-,2,-
28-1,디와이 이노베이트㈜,익산제2일반산단,전북특별자치도 익산시 석암로 13길 118,전북도청,유흡착제,개,-,-,13,-
28-2,디와이 이노베이트㈜,익산제2일반산단,전북특별자치도 익산시 석암로 13길 118,전북도청,케미칼미니붐,개,-,-,3,-
28-3,디와이 이노베이트㈜,익산제2일반산단,전북특별자치도 익산시 석암로 13길 118,전북도청,화학물질흡착제,개,-,-,10,-
29-1,SK넥실리스㈜ 정읍공장,정읍제3일반산단,전북특별자치도 정읍시 북면 3산단2길 2,전북도청,오일펜스,개,-,-,1,-
29-2,SK넥실리스㈜ 정읍공장,정읍제3일반산단,전북특별자치도 정읍시 북면 3산단2길 2,전북도청,유흡착제,개,-,-,10,-
29-3,SK넥실리스㈜ 정읍공장,정읍제3일반산단,전북특별자치도 정읍시 북면 3산단2길 2,전북도청,유처리제,개,-,-,4,-
29-4,SK넥실리스㈜ 정읍공장,정읍제3일반산단,전북특별자치도 정읍시 북면 3산단2길 2,전북도청,유처리제 살포기,개,-,-,2,-
29-5,SK넥실리스㈜ 정읍공장,정읍제3일반산단,전북특별자치도 정읍시 북면 3산단2길 2,전북도청,미니붐(유류),개,-,-,9,-
29-6,SK넥실리스㈜ 정읍공장,정읍제3일반산단,전북특별자치도 정읍시 북면 3산단2길 2,전북도청,화학물질흡착제,개,-,-,2,-
29-7,SK넥실리스㈜ 정읍공장,정읍제3일반산단,전북특별자치도 정읍시 북면 3산단2길 2,전북도청,방독마스크(반면형),개,-,-,8,-
29-8,SK넥실리스㈜ 정읍공장,정읍제3일반산단,전북특별자치도 정읍시 북면 3산단2길 2,전북도청,방독마스크(전면형),개,-,-,5,-
29-9,SK넥실리스㈜ 정읍공장,정읍제3일반산단,전북특별자치도 정읍시 북면 3산단2길 2,전북도청,정화통,개,-,-,8,-
29-10,SK넥실리스㈜ 정읍공장,정읍제3일반산단,전북특별자치도 정읍시 북면 3산단2길 2,전북도청,정화통(전면형),개,-,-,10,-
29-11,SK넥실리스㈜ 정읍공장,정읍제3일반산단,전북특별자치도 정읍시 북면 3산단2길 2,전북도청,pH페이퍼,개,-,-,3,-
29-12,SK넥실리스㈜ 정읍공장,정읍제3일반산단,전북특별자치도 정읍시 북면 3산단2길 2,전북도청,화학복,개,-,-,9,-
29-13,SK넥실리스㈜ 정읍공장,정읍제3일반산단,전북특별자치도 정읍시 북면 3산단2길 2,전북도청,가슴장화,개,-,-,10,-
29-14,SK넥실리스㈜ 정읍공장,정읍제3일반산단,전북특별자치도 정읍시 북면 3산단2길 2,전북도청,내화학장갑,개,-,-,10,-
29-15,SK넥실리스㈜ 정읍공장,정읍제3일반산단,전북특별자치도 정읍시 북면 3산단2길 2,전북도청,내산장화,개,-,-,2,-
30-1,현대자동차㈜,완주일반산단,전북특별자치도 완주군 봉동읍 완주산단5로 163,전북도청,오일펜스,개,-,-,1,-
30-2,현대자동차㈜,완주일반산단,전북특별자치도 완주군 봉동읍 완주산단5로 164,전북도청,유흡착제,개,-,-,19,-
30-3,현대자동차㈜,완주일반산단,전북특별자치도 완주군 봉동읍 완주산단5로 165,전북도청,유처리제,개,-,-,5,-
30-4,현대자동차㈜,완주일반산단,전북특별자치도 완주군 봉동읍 완주산단5로 166,전북도청,유처리제 살포기,개,-,-,2,-
30-5,현대자동차㈜,완주일반산단,전북특별자치도 완주군 봉동읍 완주산단5로 167,전북도청,케미칼미니붐,개,-,-,6,-
30-6,현대자동차㈜,완주일반산단,전북특별자치도 완주군 봉동읍 완주산단5로 168,전북도청,미니붐(유류),개,-,-,4,-
30-7,현대자동차㈜,완주일반산단,전북특별자치도 완주군 봉동읍 완주산단5로 169,전북도청,화학물질흡착제,개,-,-,7,-
30-8,현대자동차㈜,완주일반산단,전북특별자치도 완주군 봉동읍 완주산단5로 170,전북도청,방독마스크(반면형),개,-,-,8,-
30-9,현대자동차㈜,완주일반산단,전북특별자치도 완주군 봉동읍 완주산단5로 171,전북도청,방독마스크(전면형),개,-,-,7,-
30-10,현대자동차㈜,완주일반산단,전북특별자치도 완주군 봉동읍 완주산단5로 172,전북도청,정화통,개,-,-,8,-
30-11,현대자동차㈜,완주일반산단,전북특별자치도 완주군 봉동읍 완주산단5로 173,전북도청,정화통(전면형),개,-,-,13,-
30-12,현대자동차㈜,완주일반산단,전북특별자치도 완주군 봉동읍 완주산단5로 174,전북도청,pH페이퍼,개,-,-,4,-
30-13,현대자동차㈜,완주일반산단,전북특별자치도 완주군 봉동읍 완주산단5로 175,전북도청,화학복,개,-,-,9,-
30-14,현대자동차㈜,완주일반산단,전북특별자치도 완주군 봉동읍 완주산단5로 176,전북도청,가슴장화,개,-,-,10,-
30-15,현대자동차㈜,완주일반산단,전북특별자치도 완주군 봉동읍 완주산단5로 177,전북도청,내화학장갑,개,-,-,10,-
30-16,현대자동차㈜,완주일반산단,전북특별자치도 완주군 봉동읍 완주산단5로 178,전북도청,내산장화,개,-,-,2,-
